com_id,com_name,inves_round,invse_year,invse_month,invse_day,invse_detail_money,current,com_city,com_prov,scope,com_url,com_born_month,com_born_year,com_des,invst_firms
28655,大数金融,B轮,2015,12,14,50000,人民币,深圳,广东,金融,http://www.dashuf.com/,7,2014,大数金融是一家信贷外包服务提供商，专注于为小微企业提供无担保纯信用形式的贷款融资服务，隶属于深圳前海大数金融服务有限公司。,"太盟投资集团(PAG) , 红杉资本中国 , "
2878,波奇网,C轮,2016,2,1,10200,美元,宝山区,上海,本地生活,http://www.boqii.com,12,2007,波奇网是一个宠物主题社区、宠物用品网上商城等综合性宠物服务网站。光橙（上海）信息科技有限公司旗下。,"高盛集团(中国) , 招商银行 , 点亮资本 , 集富亚洲JAFCO , "
28984,时空电动汽车,B轮,2015,8,28,60000,人民币,杭州,浙江,汽车交通,http://www.skio.cn,9,2013,时空电动汽车是一家主打电动汽车的全产业链服务提供商，以自有电池技术为支点，提供多种纯电动汽车产品，同时提供基于电动汽车的租赁、电动汽车充换电基础设施、以汽车为载体的流动O2O平台等服务。,"天使投资人吴泳铭 , 华映资本 , 天堂硅谷 , 阿米巴资本 , 鼎聚投资 , 米仓资本 , "
29250,广州小鹏汽车科技有限公司,A轮,2016,3,28,4200,美元,广州,广东,汽车交通,http://www.xiaopeng.com,1,2015,小鹏汽车是一家电动汽车公司，采用O2O模式进行汽车的销售推广等，隶属于广州橙行智动汽车科技有限公司。,"紫牛基金 , 微光创投(吴宵光) , "
29408,斗米兼职,B轮,2016,10,19,4000,美元,朝阳区,北京,企业服务,http://www.doumi.com/,10,2015,斗米兼职是一个主打兼职招聘的求职服务网站，58赶集集团旗下孵化项目，而后独立为北京世诚优聘科技发展有限公司发展。,"百度公司 , 重庆新希望 , 腾讯 , 高瓴资本Hillhouse Capital , 高榕资本 , 微光创投(吴宵光) , 58同城 , 蓝湖资本 , "
29581,洋钱罐,A轮,2015,11,17,31000,人民币,东城区,北京,金融,https://www.yangqianguan.com/,9,2015,洋钱罐是一家互联网理财平台，致力于帮助有资产管理需求的投资者构建一个安全稳健，透明高效的全球资产配置平台。,"昆仑万维 , "
29634,口碑网,战略投资,2015,11,18,--,人民币,杭州,浙江,本地生活,http://www.koubei.com/,8,2005,口碑网是阿里旗下网站，致力于打造生活服务领域的电子商务第一品牌。网站为消费者提供评论分享、消费指南，是商家发布促销信息，进行口碑营销，实施电子商务的平台。,
29680,中药材天地网,A轮,2013,3,30,100000,人民币,成都,四川,医疗健康,http://www.zyctd.com/,6,2006,中药材天地网是一个主打中药材的专业信息资讯及服务平台，旗下有中药材电子商务交易平台——中药材诚实通，隶属于成都天地网信息科技有限公司。,"中卫基金 , 崇德投资 , "
29682,51订货(我要订货网),B轮,2016,7,8,15000,人民币,南京,江苏,电子商务,http://www.51dh.com.cn,2,2014,51订货(我要订货网)是一个服务城乡消费者的O2O电商平台，提供3C电子、智能硬件领域等渠道服务，江苏蜂云供应链管理有限公司旗下产品。,"顺为基金 , 彬复资本 , 恒毓投资 , 常春藤资本Ivy Capital , 德联资本(联和运通) , "
2969,寺库网,E轮,2015,7,8,5000,美元,朝阳区,北京,电子商务,http://www.secoo.com/,7,2008,寺库网是一家奢侈品电商，旗下设有寺库商城、寺库智能、寺库拍卖和寺库金融四大核心业务板块，为中国高端消费人群提供从奢侈品新品销售、鉴定评估、 售后养护、到奢侈品再流通等全方位的“一站式”奢侈品专业服务。,"中国平安(平安创新投) , 旺家投资 , VANGOO盘古创富 , Ventech China , 贝塔斯曼亚洲投资基金 , IDG资本 , 森合投资/crehol , 华人文化产业基金 , "
300,大姨吗,E轮,2015,10,21,13000,人民币,朝阳区,北京,医疗健康,http://www.dayima.com/,5,2012,大姨吗是一款以经期健康为核心女性健康管理应用，其产品矩阵中包括多款女性健康管理类产品，如好孕妈App、美月优选健康生活类电商平台等。,"隆领投资 , 真格基金 , 联创策源 , 天使湾 , 贝塔斯曼亚洲投资基金 , 汤臣倍健 , 海通开元 , 红杉资本中国 , "
3009,饿了么,F轮-上市前,2016,4,13,125000,美元,闵行区,上海,本地生活,http://ele.me/,9,2008,饿了么是一个外卖订餐平台，旗下拥有订奶茶产品。隶属于上海拉扎斯信息科技有限公司。,"经纬中国 , 阿里巴巴 , 腾讯 , 大众点评网 , 京东 , 中信产业基金 , 滴滴出行-滴滴快的 , 华联股份 , 蚂蚁金服(阿里巴巴) , 华人文化产业基金 , 金沙江创投 , 红杉资本中国 , "
3016,人瑞集团,C轮,2016,3,11,10000,人民币,闸北区,上海,企业服务,http://www.renruihr.com,2,2010,人瑞集团是一个综合的人力资源外包服务商，提供才外包和派遣、招聘、企业内训、员工关系和福利管理、员工绩效管理和呼叫中心业务外包等。,"君联资本 , 基石资本 , Macquarie麦格理 , "
303,GEO集奥聚合,C轮,2014,5,0,--,美元,朝阳区,北京,金融,http://geotmt.com,8,2012,GEO集奥聚合是中国领先的第三方数据整合和场景化应用平台。聚焦互联网营销、金融、汽车、房产、旅游等行业，拥有海量线上、线下数据和行业大数据应用产品，致力于深度挖掘大数据的商业价值，成功为多家金融机构提,"新浪微博(新浪微创投) , 亚信联创 , 金沙江创投 , "
30317,触手TV,C轮,2016,12,30,40000,人民币,杭州,浙江,游戏,http://chushou.tv/,12,2011,触手TV是一个手机游戏直播网站，主播可以直接在触手 TV 上进行移动端的游戏直播，隶属于杭州开迅科技有限公司。,"高原资本中国 , 沸点资本 , 顺为基金 , 熠美投资 , 纪源资本GGV , 启明创投 , "
30576,紫晶通财,D轮,2016,11,2,30000,美元,深圳,广东,金融,http://www.zjtcsm.com/,6,2014,紫晶通财是一家以基金对冲为基础，以普惠金融，促进金融平台、构建现代化金融体系、优化金融服务和产品，,"IDInvest Partners , Atlas Venture , Tiger老虎基金(中国) , "
30612,珍爱网,B轮,2011,9,14,--,美元,深圳,广东,社交网络,http://www.zhenai.com,5,2004,珍爱网是一家婚恋服务网站，以网络征选+人工红娘的婚配服务模式，为城市白领省时省心的成就姻缘。深圳市珍爱网信息技术有限公司旗下网站。,"TPG Growth新桥资本 , "
30624,凤凰金融,A轮,2015,12,12,8000,美元,朝阳区,北京,金融,http://www.fengjr.com/,12,2014,"凤凰金融是凤凰卫视集团旗下、为全球华人打造的智能金融服务平台。凤凰金融联合各类金融机构，深度挖掘优质金融产品，并通过大数据分析系统、量化金融模型
以及智能化算法为用户提供更契合自身需求的动态金融产品组","国科嘉和 , 中信资本 , 东方资产 , "
30766,首汽约车,A轮,2015,12,16,22000,人民币,朝阳区,北京,汽车交通,http://www.01zhuanche.com,9,2015,首汽约车是首汽集团推出的主打中高端市场的移动约租车平台，旗下车辆均为政府许可的”京B”牌照出租营运车辆。,"建投华科 , "
3093,EC营客通(六度人和),C轮,2016,5,30,17000,人民币,广州,广东,企业服务,http://www.workec.com/,12,2008,EC营客通是一款面向营销人群的企业即时通讯软件及CRM服务平台，致力于帮助数百万销售人员利用互联网＋经营客户。深圳市六度人和科技有限公司旗下产品。,"用友幸福投资 , 赛富基金 , 联创永宣 , 腾讯 , "
31091,拼多多,B轮,2016,7,20,11000,美元,长宁区,上海,电子商务,http://www.pinduoduo.com,1,2014,拼多多是一个基于团购的社会化电商平台，用户通过发起和朋友、家人、邻居等的拼团，以更低的价格，拼团购买优质商品。上海寻梦信息技术有限公司旗下产品。,"腾讯 , 新天域资本 , 高榕资本 , "
